vernacularname ,taxa
Secretary Bird (excl vulture),Bird (excl vulture)
Serval,Mammal
Sheep,Mammal
Shelduck,Bird (excl vulture)
Side-striped Jackal,Mammal
Slender Mongoose,Mammal
Small Spotted Genet,Mammal
Somali Crow,Bird (excl vulture)
Southern Bald Ibis,Bird (excl vulture)
Southern Black Flycatcher,Bird (excl vulture)
Southern Grey-headed Sparrow,Bird (excl vulture)
Southern Ground Hornbill,Bird (excl vulture)
Southern Masked Weaver,Bird (excl vulture)
Southern Red Bishop,Bird (excl vulture)
Sparrow Weaver,Bird (excl vulture)
Speckled MouseBird (excl vulture),Bird (excl vulture)
Speckled Pigeon,Bird (excl vulture)
Spotted Eagle Owl,Bird (excl vulture)
Spotted Hyaena,Mammal
Spur-winged Goose,Bird (excl vulture)
Steenbok,Mammal
Steppe Eagle,Bird (excl vulture)
Suni,Mammal
Swainson's Francolin,Bird (excl vulture)
Swallow,Bird (excl vulture)
Tawny Eagle,Bird (excl vulture)
Tortoise,Reptile
Turtle Dove,Bird (excl vulture)
Unknown antelope,Mammal
Unknown Barbel,Fish
Unknown Barbet,Bird (excl vulture)
Unknown Bat,Mammal
Unknown Bird (excl vulture),Bird (excl vulture)
Unknown Bustard,Bird (excl vulture)
Unknown Canary,Bird (excl vulture)
Unknown crow,Bird (excl vulture)
Unknown Crow,Bird (excl vulture)
Unknown dove,Bird (excl vulture)
Unknown Dove/ Pigeon,Bird (excl vulture)
Unknown Duck,Bird (excl vulture)
Unknown Eagle,Bird (excl vulture)
Unknown Falcon,Bird (excl vulture)
Unknown Fish,Fish
Unknown Fish ,Fish
Unknown Fowl,Bird (excl vulture)
Unknown Francolin,Bird (excl vulture)
Unknown Frog,Amphibian
Unknown Fruit Bat,Mammal
Unknown Genet,Mammal
Unknown Goose,Bird (excl vulture)
Unknown Guineafowl,Bird (excl vulture)
Unknown Gull,Bird (excl vulture)
Unknown Heron,Bird (excl vulture)
Unknown Hornbill,Bird (excl vulture)
Unknown Hyaena,Mammal
Unknown Jackal,Mammal
Unknown Korhaan,Bird (excl vulture)
Unknown Mammal,Mammal
Unknown Mongoose,Mammal
Unknown Monkey,Mammal
Unknown Owl,Bird (excl vulture)
Unknown Partridge,Bird (excl vulture)
Unknown Passerines,Bird (excl vulture)
Unknown Pheasant,Bird (excl vulture)
Unknown Pigeon,Bird (excl vulture)
Unknown Plover,Bird (excl vulture)
Unknown Rabbit,Mammal
Unknown Raptor,Bird (excl vulture)
Unknown Rat,Mammal
Unknown Rodent,Mammal
Unknown Sparrow,Bird (excl vulture)
Unknown Squirrel,Mammal
Unknown Starling,Bird (excl vulture)
Unknown Stork,Bird (excl vulture)
Unknown Vulture,Vulture
Unknown Weaver,Bird (excl vulture)
Verreaux's Eagle,Bird (excl vulture)
Verreaux’s Eagle-Owl,Bird (excl vulture)
Vervet Monkey,Mammal
Wahlberg's Eagle,Bird (excl vulture)
Warthog,Mammal
Water Dikkop,Bird (excl vulture)
Water Mongoose,Mammal
Waterbuck,Mammal
Waterfowl,Bird (excl vulture)
Wattled Crane,Bird (excl vulture)
Weaver,Bird (excl vulture)
White-backed Vulture,Vulture
White-faced Duck,Bird (excl vulture)
White-faced Whistling Duck,Bird (excl vulture)
White-headed Vulture,Vulture
White-necked Raven,Bird (excl vulture)
White Rhinoceros,Mammal
White Stork,Bird (excl vulture)
Wild Cat ,Mammal
Wild Duck,Bird (excl vulture)
Wild Goose,Bird (excl vulture)
Wildebeest,Mammal
Wood Owl,Bird (excl vulture)
Yellow-billed Duck,Bird (excl vulture)
Yellow-billed Kite,Bird (excl vulture)
Yellow-fronted Canary,Bird (excl vulture)
Yellow Baboon,Mammal
Yellow Fish,Fish
Yellow Weavers,Bird (excl vulture)
Zebra,Mammal
Unknown Bird,Bird (excl vulture)
Secretary Bird,Bird (excl vulture)
Lilian's Lovebird,Bird (excl vulture)
Mouse Bird,Bird (excl vulture)
Ayre's Hawk Eagle,Bird (excl vulture)
Unknown Sandgrouse,Bird (excl vulture)
Spotted_Hyaena,Mammal
Eurasian Griffon,Bird (excl vulture)
Red-faced Mousebird,Bird (excl vulture)
Grey Go-away-bird,Bird (excl vulture)
Speckled Mousebird,Bird (excl vulture)
Neophron percnopterus,Vulture
Grey_Crowned_Crane,Bird (excl vulture)
Tawny_Eagle,Bird (excl vulture)
